giorno,mese,attività_svolta,categoria,durata_in_ore,durata_forfetaria
0,0,"coordinamento 3uE",fondo,0.0000,10
0,0,"sorveglianza intervallo",70,0.0000,9
0,0,"coordinamento 3uE",70,0.0000,20
1,9,"1^ Collegio Docenti",80,2.2500,0
3,9,"incontro coordinatori triennio",80,1.5000,0
5,9,"incontro formativo registro Omedra",40,0.5000,0
8,9,"1^ Dipartimento lingue",80,1.5000,0
10,9," 2^ Collegio Docenti",80,3.0000,0
17,9,"2^ Dipartimento lingue (plenaria per assi)",80,2.0000,0
19,9,"3^ Dipartimento lingue (programmazione)",80,2.0000,0
24,9,"1^ Consiglio di classe 1uE",80,2.0000,0
26,9,"programmazione CLIL con colleghi",fondo,1.5000,0
6,10,"4^ Dipartimento lingue (prof.ssa Traclò)",80,3.5000,0
8,10,"1^ Consiglio di classe 2uA",80,1.5000,0
10,10,"1^ Consiglio di classe 3uE (coordinatore)",80,1.5000,0
13,10,"1^ Consiglio di classe 2uE",80,2.0000,0
15,10,"5^ Dipartimento lingue",80,2.0000,0
24,10,"programmazione soggiorno estivo 2015 (con Cestari)",70,1.5000,0
24,10,"programmazione CLIL 1uE-2uE (con Brighenti)",fondo,1.0000,0
27,10,"incontro gruppo docenti CLIL (1)",70,1.5000,0
29,10,"incontro organizzativo progetto 3uE (1)",fondo,1.2500,0
6,11,"2^ Consiglio di classe 1uE",80,2.0000,0
7,11,"2^ Consiglio di classe 3uE",80,1.5000,0
10,11,"2^ Consiglio di classe 2uE",80,1.5000,0
11,11,"2^ Consiglio di classe 2uA",80,1.5000,0
14,11,"3^ Collegio Docenti",80,3.0000,0
20,11,"corso aggiornamento ""Evaluation..."" (1/2)",40,3.0000,0
21,11,"programmazione CLIL geografia 2uE (con Brighenti)",fondo,1.0000,0
24,11,"udienze generali trimestre (1/2)",80,2.0000,0
25,11,"incontro organizzativo progetto 3uE (2)",fondo,1.0000,0
28,11,"incontro progetti territoriali (prof.ssa Manzana)",70,1.0000,0
28,11,"udienze generali trimestre (2/2)",80,2.0000,0
1,12,"incontro organizzativo progetto 3uE (3)",fondo,2.0000,0
3,12,"corso aggiornamento PDP stranieri",40,1.5000,0
12,12,"incontro organizzativo progetto 3uE (4)",fondo,1.0000,0
12,12,"scuola aperta",70,2.0000,0
15,12,"corso aggiornamento ""Gapminder""",40,3.0000,0
18,12,"corso aggiornamento ""Evaluation..."" (2/2)",40,1.5000,0
19,12,"programmazione CLIL 2uE (con Brighenti)",fondo,2.0000,0
16,1,"descrizione progetto multidisciplinare alla classe 3uE",40,0.3333,0
22,1,"incontro organizzativo progetto 3uE (5)",fondo,2.2500,0
27,1,"incontro organizzativo progetto 3uE (6)",fondo,1.5000,0
20,2,"descrizione progetto multidisciplinare alla classe 3uE",40,0.6667,0
23,2,"4^ Collegio Docenti",80,2.5000,0
11,3,"programmazione con gruppo docenti CLIL (2)",fondo,2.0000,0
20,3,"udienze generali pentamestre (1/2)",80,1.6667,0
23,3,"udienze generali pentamestre (2/2)",80,1.6667,0
24,3,"presentazione progetto 3uE (con 4uE)",40,2.0000,0
13,4,"4^ Consiglio di classe 2uE",80,1.5000,0
16,4,"4^ Consiglio di classe 1uE",80,1.5000,0
21,4,"4^ Consiglio di classe 2uA",80,1.5000,0
22,4,"4^ Consiglio di classe 3uE",80,1.5000,0
27,4,"5^ Consiglio di classe 2uE",80,1.0000,0
4,5,"6^ Dipartimento lingue",80,2.0000,0
15,5,"5^ Collegio Docenti",80,2.5000,0
4,6,"6^ Collegio Docenti",80,2.5000,0
